scenario_id,simulation_id,seed,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,basis,model,history_window_years,history_start_ay,evaluation_start_ay,evaluation_end_ay,success,success_or_failure,failure_type,failure_category,failure_message,failure_reason,fit_min_accident_year,fit_max_accident_year,fit_received_pre_window_ay,future_cells_hidden_from_fit,evaluation_truth_used_for_fitting,observed_target_paid,true_target_reserve,true_target_ultimate,estimated_target_reserve,true_reserve,estimated_reserve,selected_alpha,selected_power,runtime_seconds,pipeline_reconciliation_passed,model_reconciliation_passed,target_estimate_reconciliation_passed,target_truth_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,cashflow_uplift,5,2020,2020,2024,False,failed,insufficient_development_history,insufficient_development_history,ValueError: No paired observations are available for development 5 to 6.,ValueError: No paired observations are available for development 5 to 6.,2020,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,,137675538.21388325,,,,0.012250699997821357,True,False,False,True,,,,,
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,regularized_poisson,5,2020,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,ValueError: Insufficient calendar-year diagonals for rolling validation.,2020,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,,137675538.21388325,,,,0.0038777000008849427,True,False,False,True,,,,,
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,regularized_poisson_break_interaction,5,2020,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,ValueError: Insufficient calendar-year diagonals for rolling validation.,2020,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,,137675538.21388325,,,,0.008071700001892168,True,False,False,True,,,,,
short_stable_no_break,1,20260817,constant,short,stable,False,none,gross,regularized_tweedie,5,2020,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: Insufficient calendar-year diagonals for rolling validation.,ValueError: Insufficient calendar-year diagonals for rolling validation.,2020,2024,False,True,False,524373608.7811493,137675538.21388325,662049146.9950327,,137675538.21388325,,,,0.003979400004027411,True,False,False,True,,,,,
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,chain_ladder,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,63338674.97754086,55892585.70819512,63338674.97754086,,,0.024828299996443093,True,True,True,True,7446089.269345738,7446089.269345738,13.322141344865305,13.322141344865305,0.13322141344865304
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,inflation_adjusted_chain_ladder,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,65360432.32023706,55892585.70819512,65360432.32023706,,,0.05045650000101887,True,True,True,True,9467846.612041943,9467846.612041943,16.9393605468028,16.9393605468028,0.16939360546802798
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,cashflow_uplift,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,63338674.97754086,55892585.70819512,63338674.97754086,,,0.037063099996885285,True,True,True,True,7446089.269345738,7446089.269345738,13.322141344865305,13.322141344865305,0.13322141344865304
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_poisson,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,63264224.98373668,55892585.70819512,63264224.98373668,0.001,,1.1591062000006787,True,True,True,True,7371639.275541559,7371639.275541559,13.188939431121558,13.188939431121558,0.13188939431121557
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_poisson_break_interaction,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,63264224.98374367,55892585.70819512,63264224.98374367,0.001,,1.1875752999985707,True,True,True,True,7371639.2755485475,7371639.2755485475,13.188939431134061,13.188939431134061,0.1318893943113406
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_tweedie,15,2010,2020,2024,True,success,,,,,2010,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,66867757.852284126,55892585.70819512,66867757.852284126,0.1,1.9,5.1645547000007355,True,True,True,True,10975172.144089006,10975172.144089006,19.63618609700463,19.63618609700463,0.1963618609700463
