scenario_id,simulation_id,seed,treaty_variant,tail_type,inflation_scenario,structural_break,base_attachment,base_limit,index_reference_year,gross_ultimate,ceded_ultimate,retained_ultimate,ceded_share,claim_count,attaching_claims,attachment_frequency,exhausting_claims,exhaustion_frequency,mean_ceded_per_ceded_claim,ceded_paid_to_date,ceded_true_reserve,retained_true_reserve,gross_true_reserve,ceded_unpaid_proportion,success,failure_message,runtime_seconds
long_shock_break,2,20260818,fixed_nominal,long,shock,True,2000000.0,5000000.0,2010,2119029650.0648682,635006892.4868515,1484022757.5780168,0.2996687150967484,742,479,0.6455525606469003,27,0.03638814016172507,1325692.8861938443,224096348.33782694,410910544.1490244,340650780.11945105,751561324.2684755,0.6470961953496163,True,,0.22633099999802653
long_shock_break,2,20260818,fully_indexed,long,shock,True,2000000.0,5000000.0,2010,2119029650.0648682,366869791.06331986,1752159859.0015483,0.17313103242896538,742,231,0.3113207547169811,9,0.012129380053908356,1588180.9136940255,160604244.58902836,206265546.4742914,545295777.7941841,751561324.2684755,0.5622309372392317,True,,0.4479337000011583
long_shock_no_break,1,20260817,fixed_nominal,long,shock,False,2000000.0,5000000.0,2010,2104162181.3146372,654271873.6652932,1449890307.6493437,0.31094175129434065,697,463,0.6642754662840746,31,0.04447632711621234,1413114.1979811948,154504925.8004606,499766947.86483264,491629530.55364,991396478.4184726,0.7638521048827771,True,,0.22329509999690345
long_shock_no_break,1,20260817,fully_indexed,long,shock,False,2000000.0,5000000.0,2010,2104162181.3146372,377393428.02099097,1726768753.293646,0.17935567484879103,697,214,0.30703012912482064,12,0.01721664275466284,1763520.6916868738,110788959.17837618,266604468.84261474,724792009.5758579,991396478.4184726,0.7064364375412122,True,,0.443448800004262
long_shock_no_break,2,20260818,fixed_nominal,long,shock,False,2000000.0,5000000.0,2010,2229437637.726294,720967155.9797094,1508470481.7465842,0.32338520879866023,742,497,0.6698113207547169,32,0.0431266846361186,1450638.1408042442,186952060.8431351,534015095.1365743,449483662.4649458,983498757.6015201,0.7406926802524184,True,,0.2254112999944482
long_shock_no_break,2,20260818,fully_indexed,long,shock,False,2000000.0,5000000.0,2010,2229437637.726294,419026942.1441065,1810410695.5821872,0.18795185613330442,742,264,0.3557951482479784,12,0.016172506738544475,1587223.265697373,134480921.7341612,284546020.4099453,698952737.1915748,983498757.6015201,0.6790637827581211,True,,0.44966739999654237
long_stable_break,1,20260817,fixed_nominal,long,stable,True,2000000.0,5000000.0,2010,1771304586.6490989,405264789.30105567,1366039797.3480434,0.22879452374011153,697,377,0.5408895265423243,17,0.024390243902439025,1074972.9159179195,174053013.37012684,231211775.9309288,371269516.0674114,602481291.9983402,0.5705202673286537,True,,0.22342360000038752
long_stable_break,1,20260817,fully_indexed,long,stable,True,2000000.0,5000000.0,2010,1771304586.6490989,253623543.51791948,1517681043.1311793,0.14318460271009456,697,161,0.2309899569583931,9,0.01291248206599713,1575301.5125336614,120905019.03061076,132718524.48730876,469762767.5110315,602481291.9983402,0.5232894495771907,True,,0.44192840000323486
long_stable_break,2,20260818,fixed_nominal,long,stable,True,2000000.0,5000000.0,2010,1894825541.8469892,460703465.41439235,1434122076.4325967,0.24313766900425024,742,402,0.5417789757412399,14,0.018867924528301886,1146028.5209313242,203926973.76243544,256776491.65195692,328200521.07867014,584977012.7306271,0.5573574130183551,True,,0.24071350000303937
long_stable_break,2,20260818,fully_indexed,long,stable,True,2000000.0,5000000.0,2010,1894825541.8469892,286874508.15097624,1607951033.696013,0.15139890286223612,742,182,0.24528301886792453,7,0.009433962264150943,1576233.5612691003,147941278.50790912,138933229.64306718,446043783.0875599,584977012.7306271,0.48429967004927965,True,,0.44690389999595936
