scenario_id,basis,model,prior_multiplier,attempted_fits,successful_fits,success_rate,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,RMSE,percentage_error_std,mean_runtime_seconds
long_emerging_no_break,gross,expected_loss,0.9,50,50,1.0,-12.57644464855669,-13.128759378051113,13.650260469278791,148470058.4532672,10.047492716821557,0.008818928000400773
long_emerging_no_break,gross,expected_loss,1.0,50,50,1.0,7.853546416016386,7.9656723014544575,11.663391457047329,117185510.43418084,12.04085321971686,0.00880957399989711
long_emerging_no_break,gross,expected_loss,1.1,50,50,1.0,29.970356589387716,31.00075666070947,29.970356589387716,276308610.6508007,13.933800722177518,0.008865437999193091
long_emerging_no_break,gross,expected_loss,1.2,50,50,1.0,53.70770197958303,55.341887315896216,53.70770197958303,475800502.1141379,15.651706588992626,0.008750029999937396
long_shock_break,ceded,bornhuetter_ferguson_break_aware,0.8,50,50,1.0,-56.27122468573957,-56.479022205675264,56.27122468573957,226433767.91121706,3.3471606896768376,0.004604762000381016
long_shock_break,ceded,bornhuetter_ferguson_break_aware,0.9,50,50,1.0,-50.805127771457016,-51.03889998138469,50.805127771457016,205060479.68382844,3.765555775886441,0.0037559239998518025
long_shock_break,ceded,bornhuetter_ferguson_break_aware,1.0,50,50,1.0,-45.339030857174464,-45.59877775709409,45.339030857174464,183736171.0332292,4.183950862096046,0.003740382000542013
long_shock_break,ceded,bornhuetter_ferguson_break_aware,1.1,50,50,1.0,-39.872933942891905,-40.15865553280349,39.872933942891905,162480127.7197974,4.6023459483056515,0.003802021999581484
long_shock_break,ceded,bornhuetter_ferguson_break_aware,1.2,50,50,1.0,-34.40683702860936,-34.71853330851291,34.40683702860936,141323155.92934757,5.020741034515256,0.00376890400017146
long_shock_break,ceded,bornhuetter_ferguson_standard,0.8,50,50,1.0,-44.67106222239681,-44.933983284517495,44.67106222239681,181134493.20240143,4.235079628913711,0.003818319999700179
long_shock_break,ceded,bornhuetter_ferguson_standard,0.9,50,50,1.0,-37.75494500019641,-38.05073119508219,37.75494500019641,154268281.51727515,4.764464582527926,0.003819603999872925
long_shock_break,ceded,bornhuetter_ferguson_standard,1.0,50,50,1.0,-30.838827777996006,-31.167479105646876,30.838827777996006,127589846.99352235,5.293849536142139,0.0039225460001034666
long_shock_break,ceded,bornhuetter_ferguson_standard,1.1,50,50,1.0,-23.922710555795607,-24.28422701621156,23.922710555795607,101247734.53417294,5.823234489756353,0.003875066000327934
long_shock_break,ceded,bornhuetter_ferguson_standard,1.2,50,50,1.0,-17.006593333595198,-17.400974926776243,17.006593333595198,75594356.66575253,6.3526194433705685,0.003908153999800561
long_shock_break,ceded,expected_loss,0.8,50,50,1.0,-22.896348391666937,-23.524962351406643,22.896348391666937,101469461.13446435,8.917489396157292,0.008719905999314506
long_shock_break,ceded,expected_loss,0.9,50,50,1.0,-8.54150194902336,-9.269600393357116,11.362116771349918,55426180.37986146,10.194448515823414,0.008725456000101986
long_shock_break,ceded,expected_loss,1.0,50,50,1.0,6.4505348769705915,5.4589922120917285,10.320734352298167,48334731.4582367,11.37244022215998,0.00880388000034145
long_shock_break,ceded,expected_loss,1.1,50,50,1.0,21.870757732307396,20.652095546860856,21.870757732307396,94212733.32239623,12.530539510125019,0.00875066799999331
long_shock_break,ceded,expected_loss,1.2,50,50,1.0,37.61855923821599,36.24719142099316,37.61855923821599,152331730.94194728,13.695545756888283,0.008713422001019353
long_shock_break,gross,bornhuetter_ferguson_break_aware,0.8,50,50,1.0,-42.698990421945766,-42.913400206881306,42.698990421945766,331608111.8618126,4.468734410666212,0.003811120000173105
long_shock_break,gross,bornhuetter_ferguson_break_aware,0.9,50,50,1.0,-35.53636422468899,-35.77757523274146,35.53636422468899,278588242.692723,5.027326211999489,0.0038346959998307286
long_shock_break,gross,bornhuetter_ferguson_break_aware,1.0,50,50,1.0,-28.3737380274322,-28.641750258601625,28.3737380274322,226040809.76898122,5.585918013332765,0.003883526001154678
long_shock_break,gross,bornhuetter_ferguson_break_aware,1.1,50,50,1.0,-21.211111830175415,-21.50592528446178,21.211111830175415,174393394.35812357,6.144509814666041,0.003845034000114538
long_shock_break,gross,bornhuetter_ferguson_break_aware,1.2,50,50,1.0,-14.048485632918643,-14.370100310321954,14.149284944412647,124768721.68461673,6.703101615999317,0.0038192159998288846
long_shock_break,gross,bornhuetter_ferguson_standard,0.8,50,50,1.0,-25.27698126736557,-25.556580989851692,25.27698126736557,203560233.96968737,5.827424813947198,0.0038021879996813367
long_shock_break,gross,bornhuetter_ferguson_standard,0.9,50,50,1.0,-15.936603925786274,-16.251153613583156,15.936603925786274,137529272.35502368,6.555852915690599,0.003839060000173049
long_shock_break,gross,bornhuetter_ferguson_standard,1.0,50,50,1.0,-6.596226584206987,-6.9457262373146325,8.185151420696798,79469448.09371997,7.284281017433996,0.0038089520002540667
long_shock_break,gross,bornhuetter_ferguson_standard,1.1,50,50,1.0,2.744150757372333,2.3597011389539215,6.625675590710565,60332794.82378003,8.0127091191774,0.0038086619997920934
long_shock_break,gross,bornhuetter_ferguson_standard,1.2,50,50,1.0,12.08452809895162,11.665128515222445,12.522526662548414,104346823.6569085,8.741137220920796,0.0038011439994443206
long_shock_break,gross,expected_loss,0.8,50,50,1.0,-33.64914910146856,-33.72567279062292,33.64914910146856,272254525.0975067,8.744105996734525,0.008746976000402355
long_shock_break,gross,expected_loss,0.9,50,50,1.0,-13.459094735610766,-14.561410531558561,14.908990796652706,139785462.78211102,11.21299235886163,0.008761022000107914
long_shock_break,gross,expected_loss,1.0,50,50,1.0,9.95848912251478,10.16047104025253,13.706466377165818,119201379.18698248,13.785957432740958,0.008864571999583858
long_shock_break,gross,expected_loss,1.1,50,50,1.0,35.581501496728244,36.88840410431237,35.581501496728244,281814178.9129938,16.17703030709035,0.008711586000426905
