scenario_id,basis,model,break_period,rows,mean_bf_reserve_error,mean_prior_error_component,mean_development_error_component,median_bf_reserve_error,mean_absolute_bf_reserve_error,max_absolute_decomposition_residual
long_stable_break,gross,bornhuetter_ferguson_break_aware,post_break,350,-16942584.588681687,1020383.9147895189,-17962968.503471207,-15185897.544578426,20467132.638384063,4.0978193283081055e-08
long_stable_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,400,-4345548.25159557,47989.34981092289,-4393537.601406492,-2008907.8907001275,4363237.397757644,2.2351741790771484e-08
long_stable_break,gross,bornhuetter_ferguson_standard,post_break,350,3126185.958173029,1169648.6179121984,1956537.3402608286,7624323.310843617,14043102.407665765,2.9802322387695312e-08
long_stable_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,400,-4345548.25159557,47989.34981092289,-4393537.601406492,-2008907.8907001275,4363237.397757644,2.2351741790771484e-08
long_stable_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-8376071.979309086,202794.66832553947,-8578866.647634624,-6126898.997452863,9163691.51615212,1.4901161193847656e-08
long_stable_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-8376071.979309086,202794.66832553947,-8578866.647634624,-6126898.997452863,9163691.51615212,1.4901161193847656e-08
long_stable_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-9964367.901798729,599120.5956089858,-10563488.497407716,-7069211.660259543,12471970.947939979,2.2351741790771484e-08
long_stable_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-9964367.901798729,599120.5956089858,-10563488.497407716,-7069211.660259543,12471970.947939979,2.2351741790771484e-08
short_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-2609231.871097198,71277.24692743736,-2680509.1180246356,0.0,2609231.871097198,7.450580596923828e-09
short_emerging_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-2609231.871097198,71277.24692743736,-2680509.1180246356,0.0,2609231.871097198,7.450580596923828e-09
short_emerging_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-2180272.4230674617,165442.8061193523,-2345715.2291868147,0.0,2352117.0790431155,2.9802322387695312e-08
short_emerging_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-2180272.4230674617,165442.8061193523,-2345715.2291868147,0.0,2352117.0790431155,2.9802322387695312e-08
short_shock_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-3362116.260550329,82334.38717948778,-3444450.647729817,0.0,3362116.260550329,1.1175870895385742e-08
short_shock_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-3362116.260550329,82334.38717948778,-3444450.647729817,0.0,3362116.260550329,1.1175870895385742e-08
short_shock_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-2595120.2901624716,183891.41763207753,-2779011.7077945485,0.0,2763792.472367234,3.3527612686157227e-08
short_shock_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-2595120.2901624716,183891.41763207753,-2779011.7077945485,0.0,2763792.472367234,3.3527612686157227e-08
short_stable_no_break,ceded,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-2034896.0924559422,63177.26659263028,-2098073.3590485724,0.0,2039522.8581333007,7.450580596923828e-09
short_stable_no_break,ceded,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-2034896.0924559422,63177.26659263028,-2098073.3590485724,0.0,2039522.8581333007,7.450580596923828e-09
short_stable_no_break,gross,bornhuetter_ferguson_break_aware,pre_break_or_no_break,750,-1842699.149291958,150035.07940980172,-1992734.2287017587,0.0,2023573.943142276,2.60770320892334e-08
short_stable_no_break,gross,bornhuetter_ferguson_standard,pre_break_or_no_break,750,-1842699.149291958,150035.07940980172,-1992734.2287017587,0.0,2023573.943142276,2.60770320892334e-08
