analysis_type,comparison_id,experiment_step,source_file,analysis_family,scenario_id,basis,model_a,model_b,sensitivity_a,sensitivity_b,required_pairs,valid_pairs,excluded_pairs,mean_ape_a,mean_ape_b,mean_paired_difference,median_paired_difference,std_paired_difference,win_rate_a,win_rate_b,tie_rate,bootstrap_ci_lower,bootstrap_ci_upper,inference_direction,group_type,pool_label
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,55.42616231433485,55.42616231433485,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_emerging_no_break,gross,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,24.1744266123178,24.1744266123178,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_shock_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,56.25406514456132,56.25406514456132,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_shock_no_break,gross,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,25.620481335820912,25.620481335820912,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_stable_no_break,ceded,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,54.30129061064683,54.30129061064683,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
paired_comparison,step21_break_aware_bf_vs_standard_bf,21,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,short_stable_no_break,gross,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,,,50,50,0,22.760823807635084,22.760823807635084,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,includes_zero,scenario_basis,
paired_comparison,step28_ceded_specific_bf_vs_standard_bf,28,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_break,ceded,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,,,50,50,0,16.04327092748193,30.132740820250845,-14.089469892768916,-14.244645634822096,14.745165436496029,0.8,0.2,0.0,-18.10107775293105,-9.99188792525897,favors_A,scenario_basis,
paired_comparison,step28_ceded_specific_bf_vs_standard_bf,28,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_emerging_no_break,ceded,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,,,50,50,0,6.554134291190044,38.47504950183036,-31.92091521064032,-35.13449718782044,7.559715577824975,1.0,0.0,0.0,-33.87293691816037,-29.80145252747999,favors_A,scenario_basis,
paired_comparison,step28_ceded_specific_bf_vs_standard_bf,28,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_break,ceded,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,,,50,50,0,12.926369856333046,30.83882777799601,-17.912457921662963,-19.02608488584679,13.477288913494608,0.92,0.08,0.0,-21.48295995556629,-14.171550465138424,favors_A,scenario_basis,
paired_comparison,step28_ceded_specific_bf_vs_standard_bf,28,outputs/step31_paired_comparisons/paired_model_comparison_summary.csv,core_model,long_shock_no_break,ceded,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,,,50,50,0,6.03032896204903,38.78976904397377,-32.759440081924744,-35.07775408522737,6.17227649995198,1.0,0.0,0.0,-34.36627745390319,-31.02088445090985,favors_A,scenario_basis,
