scenario_id,accident_year,expected_loss_prior_ultimate,pricing_assumption_version,paid_to_date,estimated_reserve,estimated_ultimate,prior_exhausted,basis,model,true_reserve,simulation_id,seed,tail_type,inflation_scenario,structural_break,clause_type,signed_error
short_stable_no_break,2010,10831132.194445187,pricing_mc_v1,8219867.376829314,2611264.817615873,10831132.194445187,False,ceded,expected_loss,0.0,25,20260841,short,stable,False,none,2611264.817615873
short_stable_no_break,2011,11866615.197172416,pricing_mc_v1,24458810.292824607,0.0,24458810.292824607,True,ceded,expected_loss,0.0,25,20260841,short,stable,False,none,0.0
short_stable_no_break,2012,13082760.09056677,pricing_mc_v1,11244199.378640098,1838560.7119266707,13082760.09056677,False,ceded,expected_loss,0.0,25,20260841,short,stable,False,none,1838560.7119266707
short_stable_no_break,2013,14646584.852065822,pricing_mc_v1,14475582.67693981,171002.17512601241,14646584.852065822,False,ceded,expected_loss,0.0,25,20260841,short,stable,False,none,171002.17512601241
short_stable_no_break,2014,16099494.21746044,pricing_mc_v1,7906047.486291867,8193446.731168574,16099494.21746044,False,ceded,expected_loss,0.0,25,20260841,short,stable,False,none,8193446.731168574
short_stable_no_break,2015,17606606.810888685,pricing_mc_v1,6317610.876397473,11288995.934491213,17606606.810888685,False,ceded,expected_loss,0.0,25,20260841,short,stable,False,none,11288995.934491213
short_stable_no_break,2016,19197216.97180749,pricing_mc_v1,38395077.16874097,0.0,38395077.16874097,True,ceded,expected_loss,0.0,25,20260841,short,stable,False,none,0.0
short_stable_no_break,2017,21605728.60554214,pricing_mc_v1,22020100.714658786,0.0,22020100.714658786,True,ceded,expected_loss,0.0,25,20260841,short,stable,False,none,0.0
short_stable_no_break,2018,23707995.97843727,pricing_mc_v1,30321092.556042932,0.0,30321092.556042932,True,ceded,expected_loss,0.0,25,20260841,short,stable,False,none,0.0
short_stable_no_break,2019,25674328.913459502,pricing_mc_v1,41883786.87269534,0.0,41883786.87269534,True,ceded,expected_loss,0.0,25,20260841,short,stable,False,none,0.0
short_stable_no_break,2020,29000934.802801725,pricing_mc_v1,40730287.29761272,0.0,40730287.29761272,True,ceded,expected_loss,192519.7303862758,25,20260841,short,stable,False,none,-192519.7303862758
short_stable_no_break,2021,31892144.30849073,pricing_mc_v1,17608099.99421045,14284044.314280279,31892144.30849073,False,ceded,expected_loss,461294.3865523753,25,20260841,short,stable,False,none,13822749.927727904
short_stable_no_break,2022,35315436.85387436,pricing_mc_v1,34345647.02903194,969789.8248424232,35315436.85387436,False,ceded,expected_loss,6484424.043279149,25,20260841,short,stable,False,none,-5514634.218436725
short_stable_no_break,2023,38665313.28563042,pricing_mc_v1,20827793.631885245,17837519.653745174,38665313.28563042,False,ceded,expected_loss,20286006.714491498,25,20260841,short,stable,False,none,-2448487.0607463233
short_stable_no_break,2024,42781010.08873995,pricing_mc_v1,10672894.350811686,32108115.73792826,42781010.08873995,False,ceded,expected_loss,43414650.56778356,25,20260841,short,stable,False,none,-11306534.829855297
short_stable_no_break,2010,86443353.24362053,pricing_mc_v1,99281805.64809197,0.0,99281805.64809197,True,gross,expected_loss,0.0,26,20260842,short,stable,False,none,0.0
short_stable_no_break,2011,89501387.97413269,pricing_mc_v1,96967879.80948667,0.0,96967879.80948667,True,gross,expected_loss,0.0,26,20260842,short,stable,False,none,0.0
short_stable_no_break,2012,92821280.32590528,pricing_mc_v1,92691248.6584783,130031.66742697358,92821280.32590528,False,gross,expected_loss,0.0,26,20260842,short,stable,False,none,130031.66742697358
short_stable_no_break,2013,97219172.94710933,pricing_mc_v1,84161059.72456539,13058113.22254394,97219172.94710933,False,gross,expected_loss,0.0,26,20260842,short,stable,False,none,13058113.22254394
short_stable_no_break,2014,100714210.71215343,pricing_mc_v1,116039361.67917405,0.0,116039361.67917405,True,gross,expected_loss,0.0,26,20260842,short,stable,False,none,0.0
short_stable_no_break,2015,104555715.13205469,pricing_mc_v1,126252430.90556224,0.0,126252430.90556224,True,gross,expected_loss,0.0,26,20260842,short,stable,False,none,0.0
short_stable_no_break,2016,108170412.59938948,pricing_mc_v1,91879422.23276174,16290990.366627738,108170412.59938948,False,gross,expected_loss,0.0,26,20260842,short,stable,False,none,16290990.366627738
short_stable_no_break,2017,113212500.65963858,pricing_mc_v1,108650780.4435145,4561720.216124088,113212500.65963858,False,gross,expected_loss,0.0,26,20260842,short,stable,False,none,4561720.216124088
