simulation_id,scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,success_or_failure,estimated_reserve,true_reserve,signed_error,absolute_error,percentage_error,absolute_percentage_error,runtime_seconds,seed,pricing_assumption_version
22,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,799465896.2090583,641287802.3653271,158178093.84373116,158178093.84373116,24.66569506862703,24.66569506862703,0.008516301999407005,20260838,pricing_mc_v1
22,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,364024997.76143676,315854607.4999017,48170390.26153505,48170390.26153505,15.250811328294473,15.250811328294473,0.00832992799951171,20260838,pricing_mc_v1
23,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,781860229.424083,736060139.9627335,45800089.46134949,45800089.46134949,6.222329803603865,6.222329803603865,0.00834637899970403,20260839,pricing_mc_v1
23,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,360651297.8240032,366872921.985839,-6221624.16183579,6221624.16183579,-1.6958526478756966,1.6958526478756966,0.008530705999874044,20260839,pricing_mc_v1
24,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,621628233.1216927,695242579.8894112,-73614346.76771855,73614346.76771855,-10.588296645960323,10.588296645960323,0.008314225999129121,20260840,pricing_mc_v1
24,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,311666326.31658894,318321479.60916555,-6655153.292576611,6655153.292576611,-2.090701922078207,2.090701922078207,0.008287762000691146,20260840,pricing_mc_v1
25,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,718601243.9013939,780262403.0145211,-61661159.11312723,61661159.11312723,-7.90261825699933,7.90261825699933,0.008541895998860127,20260841,pricing_mc_v1
25,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,317581716.6631725,359259980.0107991,-41678263.34762663,41678263.34762663,-11.601142812058779,11.601142812058779,0.008291541000289726,20260841,pricing_mc_v1
26,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,732967032.656438,616133559.4522468,116833473.20419121,116833473.20419121,18.962361554864525,18.962361554864525,0.008431544998529716,20260842,pricing_mc_v1
26,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,349013028.3078169,314689582.873816,34323445.43400091,34323445.43400091,10.907080279096464,10.907080279096464,0.010101355999722728,20260842,pricing_mc_v1
27,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,744313721.1679997,761865734.1144851,-17552012.9464854,17552012.9464854,-2.303819710028837,2.303819710028837,0.008244361000834033,20260843,pricing_mc_v1
27,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,331158245.2622112,353410428.2791988,-22252183.01698762,22252183.01698762,-6.296413811368381,6.296413811368381,0.008442054000624921,20260843,pricing_mc_v1
28,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,791855820.4465234,649024592.3090057,142831228.1375177,142831228.1375177,22.007059490515363,22.007059490515363,0.008678674001203035,20260844,pricing_mc_v1
28,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,363218013.7185548,290834789.60206765,72383224.11648715,72383224.11648715,24.888089975592294,24.888089975592294,0.008446043000731152,20260844,pricing_mc_v1
29,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,851571875.4629011,565019115.9561379,286552759.5067632,286552759.5067632,50.71558667919621,50.71558667919621,0.008500551999532036,20260845,pricing_mc_v1
29,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,367481329.483945,289092639.0409425,78388690.44300252,78388690.44300252,27.1154224829297,27.1154224829297,0.008330958000442479,20260845,pricing_mc_v1
