comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,group_type,pool_label
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_stable_no_break,ceded,50,50,0,{},0.0,0,0,50,10000,593763611,1e-12,39.0002105153408,39.0002105153408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,long_stable_no_break,gross,50,50,0,{},0.0,0,0,50,10000,2054647627,1e-12,19.420490843638746,19.420490843638746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_emerging_no_break,ceded,50,50,0,{},0.0,0,0,50,10000,241097955,1e-12,55.42616231433485,55.42616231433485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_emerging_no_break,gross,50,50,0,{},0.0,0,0,50,10000,2032648771,1e-12,24.1744266123178,24.1744266123178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_shock_no_break,ceded,50,50,0,{},0.0,0,0,50,10000,4006990368,1e-12,56.25406514456132,56.25406514456132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_shock_no_break,gross,50,50,0,{},0.0,0,0,50,10000,3044660174,1e-12,25.620481335820912,25.620481335820912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_stable_no_break,ceded,50,50,0,{},0.0,0,0,50,10000,1202300852,1e-12,54.30129061064683,54.30129061064683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,short_stable_no_break,gross,50,50,0,{},0.0,0,0,50,10000,3409059219,1e-12,22.760823807635084,22.760823807635084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scenario_basis,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_emerging_break,ceded,50,50,0,{},0.0,40,10,0,10000,1710593862,1e-12,16.04327092748193,30.132740820250845,-14.089469892768916,-14.244645634822096,14.745165436496029,0.8,0.2,-18.101077752931054,-9.99188792525897,scenario_basis,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_emerging_no_break,ceded,50,50,0,{},0.0,50,0,0,10000,161580202,1e-12,6.554134291190044,38.475049501830355,-31.920915210640313,-35.13449718782044,7.559715577824975,1.0,0.0,-33.87293691816037,-29.80145252747999,scenario_basis,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_shock_break,ceded,50,50,0,{},0.0,46,4,0,10000,1097748407,1e-12,12.926369856333046,30.838827777996006,-17.912457921662963,-19.02608488584679,13.477288913494608,0.92,0.08,-21.482959955566294,-14.171550465138425,scenario_basis,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_shock_no_break,ceded,50,50,0,{},0.0,50,0,0,10000,492381227,1e-12,6.03032896204903,38.78976904397377,-32.759440081924744,-35.07775408522737,6.17227649995198,1.0,0.0,-34.36627745390319,-31.020884450909854,scenario_basis,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_stable_break,ceded,50,50,0,{},0.0,36,14,0,10000,2326276272,1e-12,18.766531023786452,29.796976089153787,-11.03044506536733,-10.873122044635654,16.368264591770192,0.72,0.28,-15.459172462294468,-6.575482475490927,scenario_basis,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,long_stable_no_break,ceded,50,50,0,{},0.0,50,0,0,10000,593763611,1e-12,7.364594769621686,39.0002105153408,-31.635615745719118,-35.66080717555225,8.561925231670894,1.0,0.0,-33.89095324957542,-29.17268516450611,scenario_basis,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,short_emerging_no_break,ceded,50,50,0,{},0.0,49,1,0,10000,241097955,1e-12,11.126378622341754,55.42616231433485,-44.2997836919931,-49.370200909725284,13.39667525388724,0.98,0.02,-47.78078838966748,-40.38987264410148,scenario_basis,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,short_shock_no_break,ceded,50,50,0,{},0.0,49,1,0,10000,4006990368,1e-12,9.805764945647118,56.25406514456132,-46.44830019891421,-51.203322277552914,11.729107108462133,0.98,0.02,-49.40973993794878,-43.02705402530756,scenario_basis,
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,short_stable_no_break,ceded,50,50,0,{},0.0,48,2,0,10000,1202300852,1e-12,13.073480251433685,54.30129061064683,-41.227810359213144,-46.50808172337618,16.312940217163774,0.96,0.04,-45.44394101499134,-36.64930155742577,scenario_basis,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_emerging_break,ceded,50,50,0,{},0.0,50,0,0,10000,1710593862,1e-12,6.748986049889644,45.14987093013515,-38.4008848802455,-41.519773768623324,7.787499668821319,1.0,0.0,-40.46022607794351,-36.1203213641503,scenario_basis,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_emerging_no_break,ceded,50,50,0,{},0.0,50,0,0,10000,161580202,1e-12,6.554134291190044,38.475049501830355,-31.920915210640313,-35.13449718782044,7.559715577824975,1.0,0.0,-33.87293691816037,-29.80145252747999,scenario_basis,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_shock_break,ceded,50,50,0,{},0.0,50,0,0,10000,1097748407,1e-12,6.096330781524509,45.33903085717448,-39.24270007564996,-41.492283330433054,6.181316081735057,1.0,0.0,-40.81523972389791,-37.42571176192696,scenario_basis,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_shock_no_break,ceded,50,50,0,{},0.0,50,0,0,10000,492381227,1e-12,6.03032896204903,38.78976904397377,-32.759440081924744,-35.07775408522737,6.17227649995198,1.0,0.0,-34.36627745390319,-31.020884450909854,scenario_basis,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_stable_break,ceded,50,50,0,{},0.0,50,0,0,10000,2326276272,1e-12,7.7247893481141015,45.65480024743361,-37.93001089931951,-41.41973218500172,8.57610833678539,1.0,0.0,-40.21793827502373,-35.485665250235,scenario_basis,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,long_stable_no_break,ceded,50,50,0,{},0.0,50,0,0,10000,593763611,1e-12,7.364594769621686,39.0002105153408,-31.635615745719118,-35.66080717555225,8.561925231670894,1.0,0.0,-33.89095324957542,-29.17268516450611,scenario_basis,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,short_emerging_no_break,ceded,50,50,0,{},0.0,49,1,0,10000,241097955,1e-12,11.126378622341754,55.42616231433485,-44.2997836919931,-49.370200909725284,13.39667525388724,0.98,0.02,-47.78078838966748,-40.38987264410148,scenario_basis,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,short_shock_no_break,ceded,50,50,0,{},0.0,49,1,0,10000,4006990368,1e-12,9.805764945647118,56.25406514456132,-46.44830019891421,-51.203322277552914,11.729107108462133,0.98,0.02,-49.40973993794878,-43.02705402530756,scenario_basis,
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,short_stable_no_break,ceded,50,50,0,{},0.0,48,2,0,10000,1202300852,1e-12,13.073480251433685,54.30129061064683,-41.227810359213144,-46.50808172337618,16.312940217163774,0.96,0.04,-45.44394101499134,-36.64930155742577,scenario_basis,
