comparison_id,analysis_family,source_step,model_a,model_b,group_type,scenario_id,basis,pool_label,valid_paired_rows,mean_paired_ape_difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_stable_no_break,ceded,,50,0.0,0.0,0.0,10000,593763611
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,long_stable_no_break,gross,,50,0.0,0.0,0.0,10000,2054647627
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,short_emerging_no_break,ceded,,50,0.0,0.0,0.0,10000,241097955
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,short_emerging_no_break,gross,,50,0.0,0.0,0.0,10000,2032648771
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,short_shock_no_break,ceded,,50,0.0,0.0,0.0,10000,4006990368
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,short_shock_no_break,gross,,50,0.0,0.0,0.0,10000,3044660174
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,short_stable_no_break,ceded,,50,0.0,0.0,0.0,10000,1202300852
step21_break_aware_bf_vs_standard_bf,core_model,21,bornhuetter_ferguson_break_aware,bornhuetter_ferguson_standard,scenario_basis,short_stable_no_break,gross,,50,0.0,0.0,0.0,10000,3409059219
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,scenario_basis,long_emerging_break,ceded,,50,-14.089469892768916,-18.101077752931054,-9.99188792525897,10000,1710593862
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,scenario_basis,long_emerging_no_break,ceded,,50,-31.920915210640313,-33.87293691816037,-29.80145252747999,10000,161580202
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,scenario_basis,long_shock_break,ceded,,50,-17.912457921662963,-21.482959955566294,-14.171550465138425,10000,1097748407
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,scenario_basis,long_shock_no_break,ceded,,50,-32.759440081924744,-34.36627745390319,-31.020884450909854,10000,492381227
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,scenario_basis,long_stable_break,ceded,,50,-11.03044506536733,-15.459172462294468,-6.575482475490927,10000,2326276272
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,scenario_basis,long_stable_no_break,ceded,,50,-31.635615745719118,-33.89095324957542,-29.17268516450611,10000,593763611
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,scenario_basis,short_emerging_no_break,ceded,,50,-44.2997836919931,-47.78078838966748,-40.38987264410148,10000,241097955
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,scenario_basis,short_shock_no_break,ceded,,50,-46.44830019891421,-49.40973993794878,-43.02705402530756,10000,4006990368
step28_ceded_specific_bf_vs_standard_bf,core_model,28,bornhuetter_ferguson_ceded_specific,bornhuetter_ferguson_standard,scenario_basis,short_stable_no_break,ceded,,50,-41.227810359213144,-45.44394101499134,-36.64930155742577,10000,1202300852
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,scenario_basis,long_emerging_break,ceded,,50,-38.4008848802455,-40.46022607794351,-36.1203213641503,10000,1710593862
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,scenario_basis,long_emerging_no_break,ceded,,50,-31.920915210640313,-33.87293691816037,-29.80145252747999,10000,161580202
