comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,model,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,prior_multiplier_a,prior_multiplier_b,group_type,pool_label
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,long_stable_no_break,gross,expected_loss,50,50,0,{},0.0,7,43,0,10000,4007729606,1e-12,31.812583961716328,12.456116773136085,19.356467188580247,23.899874243800838,16.731350662578567,0.14,0.86,14.67188935013043,23.8126055771266,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,4084094611,1e-12,64.34092985146788,55.42616231433485,8.914767537133029,8.81578402730997,1.1938712458802225,0.0,1.0,8.598471703243844,9.235870643538695,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_emerging_no_break,ceded,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,1815875618,1e-12,64.34092985146788,55.42616231433485,8.914767537133029,8.81578402730997,1.1938712458802225,0.0,1.0,8.58685905181558,9.253771037222268,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_emerging_no_break,ceded,expected_loss,50,50,0,{},0.0,36,14,0,10000,2068053422,1e-12,22.82268993651079,56.62678237630269,-33.804092439791894,-48.339161908493665,43.95443088370081,0.72,0.28,-45.76162282686491,-21.59429364962096,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_emerging_no_break,gross,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,653732237,1e-12,39.19620532643381,24.1744266123178,15.021778714116024,14.813647475741877,1.8774258923238147,0.0,1.0,14.500735103004942,15.54371069112936,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_emerging_no_break,gross,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,2541131284,1e-12,39.19620532643381,24.1744266123178,15.021778714116024,14.813647475741877,1.8774258923238147,0.0,1.0,14.500908167430463,15.528063723505714,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_emerging_no_break,gross,expected_loss,50,50,0,{},0.0,35,15,0,10000,399952789,1e-12,39.146743967610256,90.65276347656958,-51.506019508959305,-56.19845665890104,73.10336107807427,0.7,0.3,-71.27934369157794,-32.19267445865232,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_shock_no_break,ceded,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,1977877232,1e-12,65.00325211564905,56.25406514456132,8.749186971087731,8.764973039890169,1.0885175274830035,0.0,1.0,8.455617217266202,9.053634409654828,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_shock_no_break,ceded,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,1754693544,1e-12,65.00325211564905,56.25406514456132,8.749186971087731,8.764973039890169,1.0885175274830035,0.0,1.0,8.459436014030596,9.054520365785104,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_shock_no_break,ceded,expected_loss,50,50,0,{},0.0,33,17,0,10000,2013702713,1e-12,21.850370002486716,44.8696053940665,-23.019235391579777,-32.50247369304999,41.30573600696894,0.66,0.34,-34.15466476898619,-11.605270940679384,0.8,1.0,scenario_basis_model,
