scenario_id,simulation_id,gross_ultimate_a,success_a,ceded_ultimate_a,ceded_true_reserve_a,ceded_share_a,attachment_frequency_a,exhaustion_frequency_a,gross_ultimate_b,success_b,ceded_ultimate_b,ceded_true_reserve_b,ceded_share_b,attachment_frequency_b,exhaustion_frequency_b,present_a,present_b,gross_ultimate_absolute_difference,included_in_mechanics,exclusion_reason,ceded_ultimate_difference_a_minus_b,ceded_true_reserve_difference_a_minus_b,ceded_share_difference_a_minus_b,attachment_frequency_difference_a_minus_b,exhaustion_frequency_difference_a_minus_b,variant_a,variant_b
long_emerging_break,11,2009324085.816408,True,331071756.77276105,165415575.3400424,0.1647677241863367,0.2841379310344827,0.0137931034482758,2009324085.816408,True,566865653.7164721,347078090.3447683,0.282117582583075,0.6137931034482759,0.0386206896551724,True,True,0.0,True,included,-235793896.9437111,-181662515.00472587,-0.11734985839673831,-0.32965517241379316,-0.024827586206896603,fully_indexed,fixed_nominal
long_emerging_break,12,2025826962.6261616,True,343061525.6267981,177362143.7588488,0.1693439429703677,0.291497975708502,0.0094466936572199,2025826962.6261616,True,564105664.2702267,325126140.5975814,0.2784569830875159,0.5937921727395412,0.0310391363022942,True,True,0.0,True,included,-221044138.64342862,-147763996.8387326,-0.10911304011714817,-0.3022941970310392,-0.021592442645074296,fully_indexed,fixed_nominal
long_emerging_break,13,2162902635.1482644,True,343215270.95434946,165385558.69302803,0.15868271894302,0.2894736842105263,0.0100250626566416,2162902635.1482644,True,583460482.4638203,337192029.1110455,0.269758089422192,0.6152882205513784,0.0300751879699248,True,True,0.0,True,included,-240245211.50947088,-171806470.41801745,-0.11107537047917199,-0.3258145363408521,-0.0200501253132832,fully_indexed,fixed_nominal
long_emerging_break,14,1988610188.228087,True,318048550.9226214,164240402.28370073,0.1599350907509995,0.2756756756756757,0.0081081081081081,1988610188.228087,True,537521053.3758795,307592092.7292216,0.2702998589456224,0.6256756756756757,0.0243243243243243,True,True,0.0,True,included,-219472502.4532581,-143351690.44552085,-0.11036476819462293,-0.35000000000000003,-0.016216216216216203,fully_indexed,fixed_nominal
long_emerging_break,15,2182032618.712105,True,400708244.09171313,171974690.3055783,0.1836398964229151,0.2870619946091644,0.0188679245283018,2182032618.712105,True,624332013.6495768,323906786.8950167,0.28612405162764,0.6455525606469003,0.0377358490566037,True,True,0.0,True,included,-223623769.55786365,-151932096.58943838,-0.1024841552047249,-0.3584905660377359,-0.018867924528301903,fully_indexed,fixed_nominal
long_emerging_break,16,2172887565.2286906,True,363806303.58477545,157596749.4331054,0.1674298796709648,0.2954248366013072,0.0130718954248366,2172887565.2286906,True,585246484.5746908,318161411.8648353,0.2693404361735096,0.5986928104575163,0.0300653594771241,True,True,0.0,True,included,-221440180.98991537,-160564662.4317299,-0.10191055650254482,-0.3032679738562091,-0.0169934640522875,fully_indexed,fixed_nominal
long_emerging_break,17,1959966261.6152384,True,269888280.25920314,142630449.69763303,0.1377004724748599,0.2799461641991924,0.0067294751009421,1959966261.6152384,True,495499041.3705843,315284076.6553456,0.2528099850873126,0.6123822341857336,0.0215343203230148,True,True,0.0,True,included,-225610761.11138117,-172653626.9577126,-0.11510951261245272,-0.3324360699865412,-0.014804845222072701,fully_indexed,fixed_nominal
long_emerging_break,18,1986393554.0815568,True,340410408.654362,148665593.1553454,0.1713710799931369,0.2955801104972376,0.0124309392265193,1986393554.0815568,True,559613171.7366182,309103360.7102196,0.2817232116902257,0.6505524861878453,0.0290055248618784,True,True,0.0,True,included,-219202763.08225614,-160437767.5548742,-0.1103521316970888,-0.35497237569060774,-0.0165745856353591,fully_indexed,fixed_nominal
long_emerging_break,19,2196975434.6420803,True,359387026.45647854,169437871.10361207,0.1635826331007784,0.3106435643564356,0.0099009900990099,2196975434.6420803,True,626960004.1375271,351360784.4941068,0.285374153143259,0.6237623762376238,0.021039603960396,True,True,0.0,True,included,-267572977.68104857,-181922913.39049476,-0.12179152004248059,-0.3131188118811882,-0.0111386138613861,fully_indexed,fixed_nominal
long_emerging_break,20,2116437691.1555576,True,342407840.81939226,180150831.10264164,0.1617849853318575,0.2842242503259452,0.0078226857887874,2116437691.1555576,True,578031726.5191014,339177091.73262715,0.2731153999641259,0.6271186440677966,0.0273794002607561,True,True,0.0,True,included,-235623885.69970912,-159026260.6299855,-0.11133041463226842,-0.3428943937418514,-0.0195567144719687,fully_indexed,fixed_nominal
long_emerging_break,21,2037862037.874924,True,294923653.2620486,137251689.21293384,0.1447220900044804,0.2546174142480211,0.0131926121372031,2037862037.874924,True,520792072.5211971,308303999.9153445,0.2555580617539141,0.5949868073878628,0.021108179419525,True,True,0.0,True,included,-225868419.25914848,-171052310.70241064,-0.11083597174943369,-0.3403693931398417,-0.007915567282321899,fully_indexed,fixed_nominal
long_emerging_break,22,1950841700.751684,True,309110926.9380038,143018017.21869072,0.1584500304760245,0.2855191256830601,0.0095628415300546,1950841700.751684,True,539778488.0580965,315854607.4999018,0.2766900501717351,0.5942622950819673,0.0300546448087431,True,True,0.0,True,included,-230667561.12009275,-172836590.28121105,-0.1182400196957106,-0.30874316939890717,-0.0204918032786885,fully_indexed,fixed_nominal
long_emerging_break,23,2046753504.9358556,True,357723600.1891068,210795765.1145956,0.174776102411178,0.3036935704514364,0.0136798905608755,2046753504.9358556,True,583004213.2591128,366872921.985839,0.2848433931360894,0.6374829001367989,0.0259917920656634,True,True,0.0,True,included,-225280613.070006,-156077156.87124342,-0.11006729072491142,-0.33378932968536246,-0.0123119015047879,fully_indexed,fixed_nominal
long_emerging_break,24,2266247892.638604,True,371309658.7992028,160519984.90391314,0.1638433553563661,0.299492385786802,0.0203045685279187,2266247892.638604,True,602143735.8245053,318321479.60916555,0.2657007372319832,0.6269035532994924,0.031725888324873,True,True,0.0,True,included,-230834077.02530253,-157801494.7052524,-0.10185738187561708,-0.32741116751269045,-0.011421319796954297,fully_indexed,fixed_nominal
long_emerging_break,25,2193207286.3384905,True,376219371.1576342,177688035.69597057,0.1715384466854128,0.3018372703412073,0.0157480314960629,2193207286.3384905,True,632733261.1491451,359259980.0107991,0.2884967896515969,0.6351706036745407,0.0341207349081364,True,True,0.0,True,included,-256513889.99151093,-181571944.31482854,-0.11695834296618413,-0.3333333333333334,-0.018372703412073497,fully_indexed,fixed_nominal
