comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,model,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,shorter_window_years,longer_window_years,group_type,pool_label
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,gross,regularized_poisson,50,50,0,{},0.0,0,50,0,10000,3845948661,1e-12,111.1171520415051,55.23737064135223,55.879781400152844,54.26204777110168,17.84672868430645,0.0,1.0,51.08447055678872,60.76611713195391,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,gross,regularized_poisson_break_interaction,50,50,0,{},0.0,0,50,0,10000,1192906599,1e-12,134.6577509257723,44.788126344832136,89.86962458094017,89.74801628270514,27.825192552997176,0.0,1.0,82.18410229058377,97.65916791921575,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_break,gross,regularized_tweedie,50,50,0,{},0.0,0,50,0,10000,2782361762,1e-12,105.99072477657806,53.01396130653904,52.976763470038996,48.8530054089744,19.423240536667315,0.0,1.0,47.65750621864939,58.32547274982568,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,ceded,cashflow_uplift,50,0,50,"{""both_estimators_failed"": 50}",0.0,0,0,0,10000,471613212,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,ceded,chain_ladder,50,0,50,"{""both_estimators_failed"": 50}",0.0,0,0,0,10000,1041923182,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,ceded,inflation_adjusted_chain_ladder,50,0,50,"{""both_estimators_failed"": 50}",0.0,0,0,0,10000,836873779,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,ceded,regularized_poisson,50,50,0,{},0.0,15,35,0,10000,3709152705,1e-12,150.33037266482125,37.53070548243112,112.79966718239012,25.317958702244088,194.94987326778636,0.3,0.7,62.85359069078071,170.5675085773312,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,ceded,regularized_poisson_break_interaction,50,50,0,{},0.0,15,35,0,10000,3697525406,1e-12,150.33037267020222,37.53070547943436,112.79966719076789,25.317958699226587,194.9498732660488,0.3,0.7,64.57246608799757,169.54817546382063,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,ceded,regularized_tweedie,50,50,0,{},0.0,17,33,0,10000,959438372,1e-12,150.9592459510497,37.60783029865865,113.35141565239104,11.961107075043952,213.00556923877386,0.34,0.66,59.01091538561706,174.8477429111082,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,gross,cashflow_uplift,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,2999670376,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,gross,chain_ladder,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,1029165715,1e-12,,,,,,,,,,10,15,scenario_basis_model,
