scenario_id,scenario_label,model,model_label,basis,scheduled_count,attempted_count,applicable_count,successful_count,failed_count,applicability_rate_pct,conditional_success_rate_pct,unconditional_success_rate_pct
long_stable_break,Long / Stable + Break,cashflow_uplift,Cashflow Uplift,gross,50,50,50,50,0,100.0,100.0,100.0
long_stable_break,Long / Stable + Break,expected_loss,Expected Loss,gross,50,50,50,50,0,100.0,100.0,100.0
long_stable_break,Long / Stable + Break,bornhuetter_ferguson_standard,Standard BF,gross,50,50,50,50,0,100.0,100.0,100.0
long_stable_break,Long / Stable + Break,bornhuetter_ferguson_break_aware,Break-Aware BF,gross,50,50,50,50,0,100.0,100.0,100.0
long_stable_break,Long / Stable + Break,regularized_poisson,Regularized Poisson,gross,50,50,50,50,0,100.0,100.0,100.0
long_stable_break,Long / Stable + Break,regularized_poisson_break_interaction,Poisson + Break Interaction,gross,50,50,50,50,0,100.0,100.0,100.0
long_stable_break,Long / Stable + Break,regularized_tweedie,Tweedie,gross,50,50,50,50,0,100.0,100.0,100.0
long_emerging_break,Long / Emerging + Break,chain_ladder,Chain Ladder,gross,50,50,50,50,0,100.0,100.0,100.0
long_emerging_break,Long / Emerging + Break,inflation_adjusted_chain_ladder,Inflation-Adjusted CL,gross,50,50,50,50,0,100.0,100.0,100.0
long_emerging_break,Long / Emerging + Break,cashflow_uplift,Cashflow Uplift,gross,50,50,50,50,0,100.0,100.0,100.0
long_emerging_break,Long / Emerging + Break,expected_loss,Expected Loss,gross,50,50,50,50,0,100.0,100.0,100.0
long_emerging_break,Long / Emerging + Break,bornhuetter_ferguson_standard,Standard BF,gross,50,50,50,50,0,100.0,100.0,100.0
long_emerging_break,Long / Emerging + Break,bornhuetter_ferguson_break_aware,Break-Aware BF,gross,50,50,50,50,0,100.0,100.0,100.0
long_emerging_break,Long / Emerging + Break,regularized_poisson,Regularized Poisson,gross,50,50,50,50,0,100.0,100.0,100.0
long_emerging_break,Long / Emerging + Break,regularized_poisson_break_interaction,Poisson + Break Interaction,gross,50,50,50,50,0,100.0,100.0,100.0
long_emerging_break,Long / Emerging + Break,regularized_tweedie,Tweedie,gross,50,50,50,50,0,100.0,100.0,100.0
long_shock_break,Long / Shock + Break,chain_ladder,Chain Ladder,gross,50,50,50,50,0,100.0,100.0,100.0
long_shock_break,Long / Shock + Break,inflation_adjusted_chain_ladder,Inflation-Adjusted CL,gross,50,50,50,50,0,100.0,100.0,100.0
long_shock_break,Long / Shock + Break,cashflow_uplift,Cashflow Uplift,gross,50,50,50,50,0,100.0,100.0,100.0
long_shock_break,Long / Shock + Break,expected_loss,Expected Loss,gross,50,50,50,50,0,100.0,100.0,100.0
long_shock_break,Long / Shock + Break,bornhuetter_ferguson_standard,Standard BF,gross,50,50,50,50,0,100.0,100.0,100.0
long_shock_break,Long / Shock + Break,bornhuetter_ferguson_break_aware,Break-Aware BF,gross,50,50,50,50,0,100.0,100.0,100.0
long_shock_break,Long / Shock + Break,regularized_poisson,Regularized Poisson,gross,50,50,50,50,0,100.0,100.0,100.0
long_shock_break,Long / Shock + Break,regularized_poisson_break_interaction,Poisson + Break Interaction,gross,50,50,50,50,0,100.0,100.0,100.0
long_shock_break,Long / Shock + Break,regularized_tweedie,Tweedie,gross,50,50,50,50,0,100.0,100.0,100.0
