calibration_version,scenario_id,tail_type,inflation_scenario,structural_break_regime,development_year,incremental_ceded_paid,cumulative_ceded_paid,total_ceded_ultimate,incremental_paid_proportion,cumulative_paid_proportion,incremental_gross_paid,cumulative_gross_paid,total_gross_ultimate,gross_incremental_paid_proportion,gross_cumulative_paid_proportion,calibration_simulations,contributing_accident_years,positive_ceded_accident_years,natural_terminal_development_year,calibration_seed_start,calibration_seed_end,split_half_max_abs_cumulative_difference,available,calibration_source
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,11,132413448528.63312,1162955480903.586,1273888669625.9465,0.1039442862518856,0.9129176737595649,210144067274.26904,4166651427296.5903,4331489104457.359,0.04851543250057315,0.9619443398827574,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,12,66632190190.99682,1229587671094.5828,1273888669625.9465,0.052306133008123944,0.9652238067676888,100756652216.36302,4267408079512.953,4331489104457.359,0.023261434990723733,0.9852057748734812,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,13,29808198547.339314,1259395869641.922,1273888669625.9465,0.023399374888931172,0.98862318165662,43733748956.33809,4311141828469.291,4331489104457.359,0.010096700673062635,0.9953024755465437,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_emerging_no_break,long,emerging,no_break,14,14492799984.02466,1273888669625.9468,1273888669625.9465,0.011376818343380194,1.0000000000000002,20347275988.07379,4331489104457.3647,4331489104457.359,0.004697524453457644,1.0000000000000013,2000,30000,30000,14,91000001,91002000,0.0009808884427140452,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,1,504794773.48003066,504794773.48003066,900451747658.6122,0.0005606016921979624,0.0005606016921979624,83757483753.85986,83757483753.85986,2462563879515.2153,0.03401230906154138,0.03401230906154138,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,2,22334469519.32121,22839264292.80124,900451747658.6122,0.02480362726531002,0.025364228957507978,344696312171.8543,428453795925.7142,2462563879515.2153,0.13997456676726366,0.17398687582880504,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,3,78254326693.955,101093590986.75624,900451747658.6122,0.08690563030993585,0.11226985926744384,449187494336.47076,877641290262.1849,2462563879515.2153,0.1824064334221042,0.35639330925090923,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,4,129813973812.90982,230907564799.66608,900451747658.6122,0.1441653860414585,0.2564352453089024,433059005898.0974,1310700296160.2822,2462563879515.2153,0.17585696334640877,0.5322502725973179,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,5,150243122462.39423,381150687262.0603,900451747658.6122,0.16685305220747468,0.42328829751637703,354810161033.3042,1665510457193.5864,2462563879515.2153,0.14408160697262917,0.6763318795699471,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,6,141868678500.31238,523019365762.3727,900451747658.6122,0.1575527826662612,0.5808410801826382,266492405776.4811,1932002862970.0676,2462563879515.2153,0.10821745904473482,0.784549338614682,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
