calibration_version,scenario_id,tail_type,inflation_scenario,structural_break_regime,development_year,incremental_gross_paid,cumulative_gross_paid,incremental_ceded_paid,cumulative_ceded_paid,total_gross_ultimate,total_ceded_ultimate
step28_ceded_development_v1,long_stable_break,long,stable,post_break,3,397593995088.5119,792882903657.8448,58044301728.93683,76107117094.85765,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,4,369835919432.26324,1162718823090.1082,90325724332.05692,166432841426.91455,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,5,292724235760.85455,1455443058850.9626,98568185293.7448,265001026720.65936,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,6,212625937368.2201,1668068996219.1826,88506849428.8983,353507876149.5577,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,7,145916234545.38553,1813985230764.568,74095007585.7667,427602883735.32434,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,8,103285908284.9416,1917271139049.5098,60733493604.191315,488336377339.5156,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,9,72367710321.95444,1989638849371.464,46795115644.421265,535131492983.9369,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,10,45998582092.88746,2035637431464.3516,31643978978.40048,566775471962.3374,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,11,20320196425.917538,2055957627890.269,14818859056.851595,581594331019.189,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,12,8601172297.23975,2064558800187.5088,6538675163.22306,588133006182.412,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,13,3154011747.3437204,2067712811934.8525,2468665919.997912,590601672102.4099,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_break,long,stable,post_break,14,894338458.3940377,2068607150393.2466,715054542.6091564,591316726645.019,2068607150393.2463,591316726645.0193
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,1,73455223748.70619,73455223748.70619,128871314.26048866,128871314.26048866,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,2,416771352396.76965,490226576145.4758,10866557489.582827,10995428803.843315,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,3,575787211528.8923,1066013787674.3682,43893848724.94848,54889277528.791794,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,4,566099906158.4613,1632113693832.8296,77280611767.93756,132169889296.72935,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,5,463532285676.4873,2095645979509.317,90355102992.8966,222524992289.62598,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,6,379300682892.3287,2474946662401.6455,96141155611.88991,318666147901.51587,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,7,312784082474.698,2787730744876.3438,100746718867.67877,419412866769.19464,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,8,262018859222.18796,3049749604098.5317,101184367692.6889,520597234461.88354,4023240253277.7188,1036596463846.5605
