scenario_id,basis,model,history_window_years,history_start_ay,attempted_fits,required_result_rows,required_rows,applicable_rows,not_applicable_by_design,not_applicable_rows,estimator_invocations,successful_fits,failed_fits,data_dependent_failures,unsuccessful_or_not_applicable,applicability_rate,success_rate,unconditional_success_rate,conditional_fit_success_rate,mean_runtime_seconds,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,root_mean_squared_error,rmse,standard_deviation_percentage_error,percentage_error_std
short_emerging_no_break,gross,chain_ladder,5,2020,50,50,50,50,0,0,50,0,50,50,50,1.0,0.0,0.0,0.0,0.008447371999645839,,,,,,,
short_emerging_no_break,gross,inflation_adjusted_chain_ladder,5,2020,50,50,50,50,0,0,50,0,50,50,50,1.0,0.0,0.0,0.0,0.014287692000216339,,,,,,,
short_emerging_no_break,gross,cashflow_uplift,5,2020,50,50,50,50,0,0,50,0,50,50,50,1.0,0.0,0.0,0.0,0.011566553999728058,,,,,,,
short_emerging_no_break,gross,regularized_poisson,5,2020,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,8.76000412972644e-07,,,,,,,
short_emerging_no_break,gross,regularized_poisson_break_interaction,5,2020,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,7.660000119358302e-07,,,,,,,
short_emerging_no_break,gross,regularized_tweedie,5,2020,50,50,50,0,50,50,0,0,0,0,50,0.0,0.0,0.0,,7.859994366299361e-07,,,,,,,
short_emerging_no_break,ceded,chain_ladder,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.02368181200014078,-1.5830373753034486,-4.033548415918455,20.666275354635363,19014395.439346284,19014395.439346284,26.908165529566837,26.908165529566837
short_emerging_no_break,ceded,inflation_adjusted_chain_ladder,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.046130796000215926,0.6227243931925246,-3.3629886380419878,20.914821504561537,19415710.900524408,19415710.900524408,27.508543340088384,27.508543340088384
short_emerging_no_break,ceded,cashflow_uplift,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.03507858400029363,1.5804578619879244,-0.9460158215109722,20.80513290759801,19745106.372622278,19745106.372622278,27.880197808580334,27.880197808580334
short_emerging_no_break,ceded,regularized_poisson,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,1.2211607499999808,1.69870382366809,-2.620561791872337,20.37092475556986,18901181.595032208,18901181.595032208,25.962054032897324,25.962054032897324
short_emerging_no_break,ceded,regularized_poisson_break_interaction,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,1.2620819119992666,1.6987041416885518,-2.6205617798890946,20.370925076458022,18901181.718601603,18901181.718601603,25.962054200553595,25.962054200553595
