analysis_type,experiment_step,experiment_name,source_file,scenario_id,simulation_id,seed,model,basis,success,applicable,fit_attempted,status,failure_type,failure_message,applicability_reason,estimated_reserve,true_reserve,reserve_error,percentage_error,absolute_percentage_error,runtime_seconds,tail_type,inflation_scenario,structural_break,history_window_years,history_start_ay,prior_multiplier,pattern_variant,treaty_variant,calibration_version,prior_version,selected_alpha,selected_power,selected_hyperparameter,validation_metric,observed_paid,true_ultimate,pipeline_reconciliation_passed,model_reconciliation_passed
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_shock_no_break,1,20260817,cashflow_uplift,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,499766947.86483264,,,,0.0214454030001434,long,shock,False,,,,,,,,,,,,154504925.8004606,654271873.6652933,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_shock_no_break,1,20260817,regularized_poisson,gross,True,True,True,success,,,,904661017.8009014,991396478.4184726,-86735460.61757123,-8.748816695005429,8.748816695005429,3.282623903000058,long,shock,False,,,,,,,,0.0001,,,,1112765702.8961644,2104162181.3146367,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_shock_no_break,1,20260817,regularized_poisson,ceded,True,True,True,success,,,,681827143.240942,499766947.86483264,182060195.37610936,36.429018796447,36.429018796447,2.4127623069998663,long,shock,False,,,,,,,,0.1,,,,154504925.8004606,654271873.6652933,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_break,1,20260817,chain_ladder,gross,True,True,True,success,,,,923660578.270541,602481291.9983402,321179286.2722007,53.30942064721995,53.30942064721995,0.0575360469993029,long,stable,True,,,,,,,,,,,,1168823294.6507585,1771304586.6490989,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_break,1,20260817,chain_ladder,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,231211775.9309288,,,,0.0148878279997006,long,stable,True,,,,,,,,,,,,174053013.37012684,405264789.30105567,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_break,1,20260817,inflation_adjusted_chain_ladder,gross,True,True,True,success,,,,936411797.6009078,602481291.9983402,333930505.60256755,55.42587131543455,55.42587131543455,0.1436187950002931,long,stable,True,,,,,,,,,,,,1168823294.6507585,1771304586.6490989,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_break,1,20260817,inflation_adjusted_chain_ladder,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,231211775.9309288,,,,0.0495653540001512,long,stable,True,,,,,,,,,,,,174053013.37012684,405264789.30105567,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_break,1,20260817,cashflow_uplift,gross,True,True,True,success,,,,923660578.270541,602481291.9983402,321179286.2722007,53.30942064721995,53.30942064721995,0.0972234399996523,long,stable,True,,,,,,,,,,,,1168823294.6507585,1771304586.6490989,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_break,1,20260817,cashflow_uplift,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,231211775.9309288,,,,0.0221733090002089,long,stable,True,,,,,,,,,,,,174053013.37012684,405264789.30105567,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_break,1,20260817,regularized_poisson,gross,True,True,True,success,,,,813981113.618146,602481291.9983402,211499821.6198057,35.10479485898931,35.10479485898931,2.7725285300002724,long,stable,True,,,,,,,,0.001,,,,1168823294.6507585,1771304586.6490989,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_stable_break,1,20260817,regularized_poisson,ceded,True,True,True,success,,,,588266143.9924498,231211775.9309288,357054368.06152093,154.42741470407884,154.42741470407884,2.363427158999912,long,stable,True,,,,,,,,0.1,,,,174053013.37012684,405264789.30105567,True,True
