analysis_type,experiment_step,experiment_name,source_file,scenario_id,simulation_id,seed,treaty_variant,tail_type,inflation_scenario,structural_break,gross_ultimate,ceded_ultimate,retained_ultimate,ceded_share,attachment_frequency,exhaustion_frequency,gross_true_reserve,ceded_true_reserve,retained_true_reserve,base_attachment,base_limit,index_reference_year,minimum_applied_index_factor,maximum_applied_index_factor,mean_applied_index_factor,success,status,failure_message,runtime_seconds
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,15,20260831,fully_indexed,long,shock,True,2300449780.488496,443589155.4119512,1856860625.0765443,0.1928271415330596,0.3194070080862534,0.0188679245283018,810702410.0336541,207546902.8488876,603155507.1847665,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.4476743000050192
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,16,20260832,fixed_nominal,long,shock,True,2283542350.2816577,667429970.0300668,1616112380.2515905,0.2922783411254643,0.6431372549019608,0.0352941176470588,756180251.1935749,390841016.9025936,365339234.2909812,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2269051999974181
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,16,20260832,fully_indexed,long,shock,True,2283542350.2816577,404198097.9010726,1879344252.3805847,0.1770048617014779,0.3202614379084967,0.0130718954248366,756180251.1935749,192471047.78129223,563709203.4122827,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.451646499997878
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,17,20260833,fixed_nominal,long,shock,True,2071512533.7388003,581849675.1293278,1489662858.6094725,0.2808815614932185,0.6433378196500673,0.02557200538358,782936779.6048995,393029957.3509383,389906822.25396127,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2300439999962691
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,17,20260833,fully_indexed,long,shock,True,2071512533.7388003,311442009.42916983,1760070524.3096304,0.1503452208744588,0.3082099596231494,0.0094212651413189,782936779.6048995,179060274.57827273,603876505.0266268,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.4542408000052091
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,18,20260834,fixed_nominal,long,shock,True,2092583054.3045511,644353334.9305665,1448229719.3739843,0.3079224662577184,0.6740331491712708,0.0317679558011049,712088571.4194571,384461423.0993128,327627148.3201442,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2261624000020674
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,18,20260834,fully_indexed,long,shock,True,2092583054.3045511,381577388.4244126,1711005665.8801386,0.1823475477541922,0.3301104972375691,0.0124309392265193,712088571.4194571,183944078.5798013,528144492.8396557,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.4812654000052134
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,19,20260835,fixed_nominal,long,shock,True,2313312477.9638715,723847424.9442884,1589465053.0195832,0.3129051660074057,0.6547029702970297,0.0321782178217821,774398830.4839265,434770527.391416,339628303.0925107,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2303173999971477
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,19,20260835,fully_indexed,long,shock,True,2313312477.9638715,408260006.5438615,1905052471.42001,0.1764828618843586,0.3378712871287129,0.0099009900990099,774398830.4839265,210636439.0394602,563762391.4444664,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.4883855000007315
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,20,20260836,fixed_nominal,long,shock,True,2236900833.4627624,667227395.9045078,1569673437.5582542,0.2982820632560755,0.6623207301173403,0.0338983050847457,825456703.9981307,416751535.2918438,408705168.7062869,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.2280778999993344
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,20,20260836,fully_indexed,long,shock,True,2236900833.4627624,386790098.1702584,1850110735.2925036,0.1729133864068084,0.3142112125162972,0.0091264667535853,825456703.9981307,217737566.3763345,607719137.6217961,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.4560884000020451
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,21,20260837,fixed_nominal,long,shock,True,2149007547.7670817,608586572.969449,1540420974.797633,0.2831942463868024,0.637203166226913,0.025065963060686,754509359.2499065,386948735.9032155,367560623.3466911,2000000.0,5000000.0,2010,1.0,1.0,1.0,True,success,,0.239093900003354
treaty_sensitivity,29,treaty_indexation_sensitivity,outputs/step29_treaty_indexation_sensitivity/final_50/results.csv,long_shock_break,21,20260837,fully_indexed,long,shock,True,2149007547.7670817,332069505.83712626,1816938041.9299555,0.1545222613025076,0.2810026385224274,0.0145118733509234,754509359.2499065,169220123.3947669,585289235.8551396,2000000.0,5000000.0,2010,1.0,2.049065453554199,1.3753643371958135,True,success,,0.4492596999989473
